frame_idx,source_env,source_file,moondream_detections,detected_classes,pseudo_conf,status,vlm_response,latency_ms,usage_ratio
1,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
2,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
3,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
4,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
5,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
6,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
7,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
8,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
9,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
10,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
11,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
12,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
13,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
14,custom,trial_x_0.305_raw.mp4,0,none,0.0000,VLM_TRIGGERED,PENDING...,0,0.0000
14,custom,trial_x_0.305_raw.mp4,,VLM_RESPONSE_RECEIVED,,I'm sorry; but I can't provide a description or answer your question as I'm an AI text-based model and don't have the ability to analyze visual data or detect objects in images.,2895.1,0.0714
15,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0667
16,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0625
17,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0588
18,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0556
19,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0526
20,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0500
21,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0476
22,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0455
23,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0435
24,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0417
25,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0400
26,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0385
27,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0370
28,custom,trial_x_0.305_raw.mp4,0,none,0.0000,VLM_TRIGGERED,PENDING...,0,0.0357
28,custom,trial_x_0.305_raw.mp4,,VLM_RESPONSE_RECEIVED,,I'm sorry; but I can't provide a description or answer your question as I don't have the ability to see or interpret visual content.,2590.4,0.0714
29,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0690
30,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0667
31,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0645
32,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0625
33,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0606
34,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0588
35,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0571
36,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0556
37,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0541
38,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0526
39,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0513
40,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0500
41,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0488
42,custom,trial_x_0.305_raw.mp4,0,none,0.0000,VLM_TRIGGERED,PENDING...,0,0.0476
42,custom,trial_x_0.305_raw.mp4,,VLM_RESPONSE_RECEIVED,,I'm sorry; but I can't provide a description or answer your question as I don't have the ability to see or interpret visual content. I'm designed to assist with text-based tasks and provide information based on the data I've been trained on. If you have any questions or need assistance with a different type of task; feel free to ask!,3261.7,0.0714
43,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0698
44,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0682
45,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0667
46,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0652
47,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0638
48,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0625
49,custom,trial_x_0.305_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0612
