frame_idx,source_env,source_file,yolo_max_conf,status,vlm_response,latency_ms,usage_ratio
1,robot_room_second_trial,trial_x_0.78.mp4,0.0000,YOLO_ONLY,N/A,0,0.0000
2,robot_room_second_trial,trial_x_0.78.mp4,0.6530,YOLO_ONLY,N/A,0,0.0000
3,robot_room_second_trial,trial_x_0.78.mp4,0.6219,YOLO_ONLY,N/A,0,0.0000
4,robot_room_second_trial,trial_x_0.78.mp4,0.6425,YOLO_ONLY,N/A,0,0.0000
5,robot_room_second_trial,trial_x_0.78.mp4,0.7149,YOLO_ONLY,N/A,0,0.0000
6,robot_room_second_trial,trial_x_0.78.mp4,0.6892,YOLO_ONLY,N/A,0,0.0000
7,robot_room_second_trial,trial_x_0.78.mp4,0.7213,YOLO_ONLY,N/A,0,0.0000
8,robot_room_second_trial,trial_x_0.78.mp4,0.6398,YOLO_ONLY,N/A,0,0.0000
9,robot_room_second_trial,trial_x_0.78.mp4,0.7461,YOLO_ONLY,N/A,0,0.0000
10,robot_room_second_trial,trial_x_0.78.mp4,0.6271,YOLO_ONLY,N/A,0,0.0000
11,robot_room_second_trial,trial_x_0.78.mp4,0.5514,YOLO_ONLY,N/A,0,0.0000
12,robot_room_second_trial,trial_x_0.78.mp4,0.5988,YOLO_ONLY,N/A,0,0.0000
13,robot_room_second_trial,trial_x_0.78.mp4,0.7499,YOLO_ONLY,N/A,0,0.0000
14,robot_room_second_trial,trial_x_0.78.mp4,0.8430,YOLO_ONLY,N/A,0,0.0000
15,robot_room_second_trial,trial_x_0.78.mp4,0.6770,YOLO_ONLY,N/A,0,0.0000
16,robot_room_second_trial,trial_x_0.78.mp4,0.7535,YOLO_ONLY,N/A,0,0.0000
17,robot_room_second_trial,trial_x_0.78.mp4,0.7665,YOLO_ONLY,N/A,0,0.0000
18,robot_room_second_trial,trial_x_0.78.mp4,0.6947,YOLO_ONLY,N/A,0,0.0000
19,robot_room_second_trial,trial_x_0.78.mp4,0.6734,YOLO_ONLY,N/A,0,0.0000
20,robot_room_second_trial,trial_x_0.78.mp4,0.7048,YOLO_ONLY,N/A,0,0.0000
21,robot_room_second_trial,trial_x_0.78.mp4,0.7652,YOLO_ONLY,N/A,0,0.0000
22,robot_room_second_trial,trial_x_0.78.mp4,0.6539,YOLO_ONLY,N/A,0,0.0000
23,robot_room_second_trial,trial_x_0.78.mp4,0.6612,YOLO_ONLY,N/A,0,0.0000
24,robot_room_second_trial,trial_x_0.78.mp4,0.6393,YOLO_ONLY,N/A,0,0.0000
25,robot_room_second_trial,trial_x_0.78.mp4,0.6850,YOLO_ONLY,N/A,0,0.0000
26,robot_room_second_trial,trial_x_0.78.mp4,0.7071,YOLO_ONLY,N/A,0,0.0000
27,robot_room_second_trial,trial_x_0.78.mp4,0.7538,YOLO_ONLY,N/A,0,0.0000
28,robot_room_second_trial,trial_x_0.78.mp4,0.7159,YOLO_ONLY,N/A,0,0.0000
29,robot_room_second_trial,trial_x_0.78.mp4,0.7696,YOLO_ONLY,N/A,0,0.0000
30,robot_room_second_trial,trial_x_0.78.mp4,0.6692,YOLO_ONLY,N/A,0,0.0000
31,robot_room_second_trial,trial_x_0.78.mp4,0.6884,YOLO_ONLY,N/A,0,0.0000
32,robot_room_second_trial,trial_x_0.78.mp4,0.6397,YOLO_ONLY,N/A,0,0.0000
33,robot_room_second_trial,trial_x_0.78.mp4,0.7184,YOLO_ONLY,N/A,0,0.0000
34,robot_room_second_trial,trial_x_0.78.mp4,0.6283,YOLO_ONLY,N/A,0,0.0000
35,robot_room_second_trial,trial_x_0.78.mp4,0.6504,YOLO_ONLY,N/A,0,0.0000
36,robot_room_second_trial,trial_x_0.78.mp4,0.5899,YOLO_ONLY,N/A,0,0.0000
37,robot_room_second_trial,trial_x_0.78.mp4,0.6857,YOLO_ONLY,N/A,0,0.0000
38,robot_room_second_trial,trial_x_0.78.mp4,0.6354,YOLO_ONLY,N/A,0,0.0000
39,robot_room_second_trial,trial_x_0.78.mp4,0.7188,YOLO_ONLY,N/A,0,0.0000
