frame_idx,source_env,source_file,yolo_max_conf,detected_classes,status,vlm_response,latency_ms,usage_ratio
1,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.0000
2,RP,trial_x_0.3.mp4,0.3273,tv,VLM_TRIGGERED,PENDING...,0,0.0000
2,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and blurry to provide a detailed description of the room or identify any obstacles and hazards.,3168.2,0.5000
3,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3333
4,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2500
5,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2000
6,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.1667
7,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.1429
8,RP,trial_x_0.3.mp4,0.2701,book,VLM_TRIGGERED,PENDING...,0,0.1250
8,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and blurry to provide a detailed description or to identify any obstacles or hazards in the room.,3151.4,0.2500
9,RP,trial_x_0.3.mp4,0.2877,book,VLM_TRIGGERED,PENDING...,0,0.2222
9,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and blurry to provide a detailed description or to identify any obstacles or hazards in the room.,3270.6,0.3333
10,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3000
11,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2727
12,RP,trial_x_0.3.mp4,0.2984,tv,VLM_TRIGGERED,PENDING...,0,0.2500
12,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and blurry to provide a detailed description of the room or identify any obstacles and hazards.,3187.8,0.3333
13,RP,trial_x_0.3.mp4,0.2563,book,VLM_TRIGGERED,PENDING...,0,0.3077
13,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and unclear to provide a detailed description or to identify obstacles and hazards.,3211.7,0.3846
14,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3571
15,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3333
16,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3125
17,RP,trial_x_0.3.mp4,0.3189,book,VLM_TRIGGERED,PENDING...,0,0.2941
17,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and blurry to provide a detailed description or to identify any obstacles or hazards.,3181.2,0.3529
18,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3333
19,RP,trial_x_0.3.mp4,0.2568,tv,VLM_TRIGGERED,PENDING...,0,0.3158
19,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and blurry to provide a detailed description of the room or identify any obstacles and hazards.,3186.4,0.3684
20,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3500
21,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3333
22,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3182
23,RP,trial_x_0.3.mp4,0.2614,book,VLM_TRIGGERED,PENDING...,0,0.3043
23,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and blurry to provide a detailed description or to identify any obstacles or hazards.,3153.0,0.3478
24,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3333
25,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3200
26,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3077
27,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2963
28,RP,trial_x_0.3.mp4,0.2683,tv,VLM_TRIGGERED,PENDING...,0,0.2857
28,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and blurry to provide a detailed description of the room or identify any obstacles and hazards.,3237.7,0.3214
29,RP,trial_x_0.3.mp4,0.3058,tv,VLM_TRIGGERED,PENDING...,0,0.3103
29,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and blurry to provide a detailed description of the room or identify any obstacles and hazards.,3288.2,0.3448
30,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3333
31,RP,trial_x_0.3.mp4,0.2971,microwave,VLM_TRIGGERED,PENDING...,0,0.3226
31,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and unclear to provide a detailed description or to identify any obstacles or hazards.,3195.4,0.3548
32,RP,trial_x_0.3.mp4,0.2920,book,VLM_TRIGGERED,PENDING...,0,0.3438
32,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and unclear to provide a detailed description or answer.,2983.3,0.3750
33,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3636
34,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3529
35,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3429
36,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3333
37,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3243
38,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3158
39,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3077
40,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3000
41,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2927
42,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2857
43,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2791
44,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2727
45,RP,trial_x_0.3.mp4,0.2904,tv,VLM_TRIGGERED,PENDING...,0,0.2667
45,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and blurry to provide a detailed description of the room or identify any obstacles and hazards.,3287.3,0.2889
46,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2826
47,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2766
48,RP,trial_x_0.3.mp4,0.2669,book,VLM_TRIGGERED,PENDING...,0,0.2708
48,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and blurry to provide a detailed description or to identify any obstacles or hazards.,3173.6,0.2917
49,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2857
50,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2800
51,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2745
52,RP,trial_x_0.3.mp4,0.2543,book,VLM_TRIGGERED,PENDING...,0,0.2692
52,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and blurry to provide a detailed description or to identify any obstacles or hazards.,3104.4,0.2885
53,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2830
54,RP,trial_x_0.3.mp4,0.3100,tv,VLM_TRIGGERED,PENDING...,0,0.2778
54,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a whiteboard with various writings and drawings; but there are no clear obstacles or hazards visible in the room. The white haze is a camera defect simulating Retinitis Pigmentosa; which is not a real hazard but a visual effect. The focus should be on the clear areas of the image; which include the whiteboard and the corner of the room.,4756.0,0.2963
55,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2909
56,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2857
57,RP,trial_x_0.3.mp4,0.3869,tv,VLM_TRIGGERED,PENDING...,0,0.2807
57,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a whiteboard with various writings and drawings; but due to the camera defect simulating Retinitis Pigmentosa; the corner white haze obscures the view of the floor and path. The clear areas of the image reveal a whiteboard with text and diagrams; but the specific details of the floor and path are not discernible due to the haze.,4913.8,0.2982
58,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.2931
59,RP,trial_x_0.3.mp4,0.2709,tv,VLM_TRIGGERED,PENDING...,0,0.2881
59,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a whiteboard with various writings and drawings; but there are no clear obstacles or hazards visible in the room. The white haze is a camera defect simulating Retinitis Pigmentosa; which is not a real hazard but a visual effect. The focus should be on the clear areas of the image; which include the whiteboard and the corner of the room where the white haze is present.,4862.0,0.3051
60,RP,trial_x_0.3.mp4,0.3278,book,VLM_TRIGGERED,PENDING...,0,0.3000
60,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image is too small and blurry to provide a detailed description or to identify any obstacles or hazards.,3346.0,0.3167
61,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3115
62,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3065
63,RP,trial_x_0.3.mp4,0.6408,tv,VLM_TRIGGERED,PENDING...,0,0.3016
63,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a whiteboard with various scribbles and notes; but there are no clear obstacles or hazards visible in the room. The white haze is a camera defect simulating Retinitis Pigmentosa; which is not a real hazard but a visual effect. The focus should be on the clear areas of the image; which include the whiteboard and the corner of the room.,4640.1,0.3175
64,RP,trial_x_0.3.mp4,0.6453,tv,YOLO_ONLY,N/A,0,0.3125
65,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3077
66,RP,trial_x_0.3.mp4,0.3374,tv,VLM_TRIGGERED,PENDING...,0,0.3030
66,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a whiteboard with various writings and drawings; but there are no clear obstacles or hazards visible in the room. The white haze is a camera defect simulating Retinitis Pigmentosa; which is not a real hazard but a visual effect. The focus should be on the clear areas of the image; which include the whiteboard and the corner of the room.,4811.5,0.3182
67,RP,trial_x_0.3.mp4,0.0000,none,YOLO_ONLY,N/A,0,0.3134
68,RP,trial_x_0.3.mp4,0.2951,tv,VLM_TRIGGERED,PENDING...,0,0.3088
68,RP,trial_x_0.3.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows a whiteboard with various writings and drawings; but there are no clear obstacles or hazards visible in the room. The white haze is a camera defect simulating Retinitis Pigmentosa; which is not a real hazard but a visual effect. The focus should be on the clear areas of the image; which include the whiteboard and the corner of the room.,4700.2,0.3235
69,RP,trial_x_0.3.mp4,0.3765,tv,VLM_TRIGGERED,PENDING...,0,0.3188
