frame_idx,source_env,source_file,moondream_detections,detected_classes,pseudo_conf,status,vlm_response,latency_ms,usage_ratio
1,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
2,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
3,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
4,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
5,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
6,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
7,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
8,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
9,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
10,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
11,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
12,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
13,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
14,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
15,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
16,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
17,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
18,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0000
19,custom,trial_x_0.5_raw.mp4,0,none,0.0000,VLM_TRIGGERED,PENDING...,0,0.0000
19,custom,trial_x_0.5_raw.mp4,,VLM_RESPONSE_RECEIVED,,The image shows two orange traffic cones; which are typically used to mark hazards or to guide traffic. However; in this context; they appear to be placed in a way that could obstruct movement or pose a tripping hazard. The white cables on the floor could be a safety feature; but they also suggest that the area is not meant for pedestrian use. The obstruction of the view by the cones and cables could be a hazard for someone with low vision; as it may make it difficult to navigate the area safely. It would be advisable to clear the cones and cables to ensure a safe and navigable path.,6209.6,0.0526
20,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0500
21,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0476
22,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0455
23,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0435
24,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0417
25,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0400
26,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0385
27,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0370
28,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0357
29,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0345
30,custom,trial_x_0.5_raw.mp4,0,none,0.0000,MOONDREAM_ONLY,N/A,0,0.0333
