frame_idx,source_env,source_file,yolo_max_conf,status,vlm_response,latency_ms,usage_ratio
1,computer_room_part_two,trial_x_0.19.mp4,0.2677,VLM_TRIGGERED,PENDING...,0,0.0000
1,computer_room_part_two,trial_x_0.19.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows two traffic cones; one prominently in the foreground with a red base and black stripes; and another partially visible behind it. The floor appears to be dark and uneven; with no clear paths or obstacles other than these cones. There is also a blue box highlighting an area of interest; possibly indicating a zone for caution or attention within the simulation environment.,4461.4,1.0000
2,computer_room_part_two,trial_x_0.19.mp4,0.3434,YOLO_ONLY,N/A,0,0.5000
3,computer_room_part_two,trial_x_0.19.mp4,0.3130,YOLO_ONLY,N/A,0,0.3333
4,computer_room_part_two,trial_x_0.19.mp4,0.0000,YOLO_ONLY,N/A,0,0.2500
5,computer_room_part_two,trial_x_0.19.mp4,0.0000,YOLO_ONLY,N/A,0,0.2000
6,computer_room_part_two,trial_x_0.19.mp4,0.2853,YOLO_ONLY,N/A,0,0.1667
7,computer_room_part_two,trial_x_0.19.mp4,0.0000,YOLO_ONLY,N/A,0,0.1429
8,computer_room_part_two,trial_x_0.19.mp4,0.0000,YOLO_ONLY,N/A,0,0.1250
9,computer_room_part_two,trial_x_0.19.mp4,0.3608,YOLO_ONLY,N/A,0,0.1111
10,computer_room_part_two,trial_x_0.19.mp4,0.0000,YOLO_ONLY,N/A,0,0.1000
11,computer_room_part_two,trial_x_0.19.mp4,0.2690,VLM_TRIGGERED,PENDING...,0,0.0909
11,computer_room_part_two,trial_x_0.19.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows an area with orange traffic cones; which are typically used as markers or obstacles. There is a black circular object that appears to be a simulation of Age-Related Macular Degeneration; but it should not be considered a real hazard in this context. The floor seems to be made of concrete; and there is a clear path leading towards the cones.,4705.0,0.1818
12,computer_room_part_two,trial_x_0.19.mp4,0.4205,YOLO_ONLY,N/A,0,0.1667
13,computer_room_part_two,trial_x_0.19.mp4,0.0000,YOLO_ONLY,N/A,0,0.1538
14,computer_room_part_two,trial_x_0.19.mp4,0.4524,YOLO_ONLY,N/A,0,0.1429
15,computer_room_part_two,trial_x_0.19.mp4,0.0000,YOLO_ONLY,N/A,0,0.1333
16,computer_room_part_two,trial_x_0.19.mp4,0.0000,YOLO_ONLY,N/A,0,0.1250
17,computer_room_part_two,trial_x_0.19.mp4,0.0000,YOLO_ONLY,N/A,0,0.1176
18,computer_room_part_two,trial_x_0.19.mp4,0.0000,YOLO_ONLY,N/A,0,0.1111
19,computer_room_part_two,trial_x_0.19.mp4,0.0000,YOLO_ONLY,N/A,0,0.1053
