frame_idx,source_env,source_file,yolo_max_conf,status,vlm_response,latency_ms,usage_ratio
1,computer_room_part_two,trial_x_0.335.mp4,0.5497,YOLO_ONLY,N/A,0,0.0000
2,computer_room_part_two,trial_x_0.335.mp4,0.3966,YOLO_ONLY,N/A,0,0.0000
3,computer_room_part_two,trial_x_0.335.mp4,0.4141,YOLO_ONLY,N/A,0,0.0000
4,computer_room_part_two,trial_x_0.335.mp4,0.3103,YOLO_ONLY,N/A,0,0.0000
5,computer_room_part_two,trial_x_0.335.mp4,0.3569,YOLO_ONLY,N/A,0,0.0000
6,computer_room_part_two,trial_x_0.335.mp4,0.3670,YOLO_ONLY,N/A,0,0.0000
7,computer_room_part_two,trial_x_0.335.mp4,0.3803,YOLO_ONLY,N/A,0,0.0000
8,computer_room_part_two,trial_x_0.335.mp4,0.2568,VLM_TRIGGERED,PENDING...,0,0.0000
8,computer_room_part_two,trial_x_0.335.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows an orange traffic cone with a white reflective band; placed on a gray carpeted floor. The cone is positioned centrally and appears to be stationary. There are no other visible obstacles or hazards within the frame of this image.,3900.3,0.1250
9,computer_room_part_two,trial_x_0.335.mp4,0.2717,VLM_TRIGGERED,PENDING...,0,0.1111
9,computer_room_part_two,trial_x_0.335.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows an orange traffic cone with a black base; placed on a carpeted floor. The cone is positioned centrally and appears to be stationary. There are no other visible obstacles or hazards in the immediate vicinity of the cone within the frame of this image.,4029.3,0.2222
10,computer_room_part_two,trial_x_0.335.mp4,0.2612,VLM_TRIGGERED,PENDING...,0,0.2000
10,computer_room_part_two,trial_x_0.335.mp4,N/A,VLM_RESPONSE_RECEIVED,The image shows an orange traffic cone with a white reflective band; placed on a carpeted floor. The cone is positioned centrally and appears to be stationary. There are no other visible obstacles or hazards in the immediate vicinity of the cone within the frame of this image.,4063.5,0.3000
11,computer_room_part_two,trial_x_0.335.mp4,0.3471,YOLO_ONLY,N/A,0,0.2727
12,computer_room_part_two,trial_x_0.335.mp4,0.3081,YOLO_ONLY,N/A,0,0.2500
13,computer_room_part_two,trial_x_0.335.mp4,0.3169,YOLO_ONLY,N/A,0,0.2308
14,computer_room_part_two,trial_x_0.335.mp4,0.4865,YOLO_ONLY,N/A,0,0.2143
15,computer_room_part_two,trial_x_0.335.mp4,0.4011,YOLO_ONLY,N/A,0,0.2000
16,computer_room_part_two,trial_x_0.335.mp4,0.2789,YOLO_ONLY,N/A,0,0.1875
17,computer_room_part_two,trial_x_0.335.mp4,0.4101,YOLO_ONLY,N/A,0,0.1765
18,computer_room_part_two,trial_x_0.335.mp4,0.3786,YOLO_ONLY,N/A,0,0.1667
19,computer_room_part_two,trial_x_0.335.mp4,0.3561,YOLO_ONLY,N/A,0,0.1579
20,computer_room_part_two,trial_x_0.335.mp4,0.4161,YOLO_ONLY,N/A,0,0.1500
21,computer_room_part_two,trial_x_0.335.mp4,0.0000,YOLO_ONLY,N/A,0,0.1429
22,computer_room_part_two,trial_x_0.335.mp4,0.3999,YOLO_ONLY,N/A,0,0.1364
23,computer_room_part_two,trial_x_0.335.mp4,0.3617,YOLO_ONLY,N/A,0,0.1304
24,computer_room_part_two,trial_x_0.335.mp4,0.3700,YOLO_ONLY,N/A,0,0.1250
25,computer_room_part_two,trial_x_0.335.mp4,0.3823,YOLO_ONLY,N/A,0,0.1200
26,computer_room_part_two,trial_x_0.335.mp4,0.5608,YOLO_ONLY,N/A,0,0.1154
27,computer_room_part_two,trial_x_0.335.mp4,0.4176,YOLO_ONLY,N/A,0,0.1111
28,computer_room_part_two,trial_x_0.335.mp4,0.2986,YOLO_ONLY,N/A,0,0.1071
29,computer_room_part_two,trial_x_0.335.mp4,0.0000,YOLO_ONLY,N/A,0,0.1034
30,computer_room_part_two,trial_x_0.335.mp4,0.4181,YOLO_ONLY,N/A,0,0.1000
31,computer_room_part_two,trial_x_0.335.mp4,0.3624,YOLO_ONLY,N/A,0,0.0968
32,computer_room_part_two,trial_x_0.335.mp4,0.2525,VLM_TRIGGERED,PENDING...,0,0.0938
32,computer_room_part_two,trial_x_0.335.mp4,N/A,VLM_RESPONSE_RECEIVED,The obstacles in the room include an orange traffic cone with a black base; which appears to be the main focus due to its central positioning and distinct coloration. The floor is covered with a carpeted surface that has a pattern of lighter and darker shades; providing a contrast that highlights the cone's presence. There are no other clear hazards or obstacles immediately visible in this image.,4530.4,0.1250
33,computer_room_part_two,trial_x_0.335.mp4,0.3385,YOLO_ONLY,N/A,0,0.1212
34,computer_room_part_two,trial_x_0.335.mp4,0.4289,YOLO_ONLY,N/A,0,0.1176
35,computer_room_part_two,trial_x_0.335.mp4,0.3971,YOLO_ONLY,N/A,0,0.1143
36,computer_room_part_two,trial_x_0.335.mp4,0.2885,YOLO_ONLY,N/A,0,0.1111
37,computer_room_part_two,trial_x_0.335.mp4,0.3807,YOLO_ONLY,N/A,0,0.1081
38,computer_room_part_two,trial_x_0.335.mp4,0.5039,YOLO_ONLY,N/A,0,0.1053
39,computer_room_part_two,trial_x_0.335.mp4,0.4624,YOLO_ONLY,N/A,0,0.1026
40,computer_room_part_two,trial_x_0.335.mp4,0.4760,YOLO_ONLY,N/A,0,0.1000
41,computer_room_part_two,trial_x_0.335.mp4,0.3369,YOLO_ONLY,N/A,0,0.0976
42,computer_room_part_two,trial_x_0.335.mp4,0.3406,YOLO_ONLY,N/A,0,0.0952
43,computer_room_part_two,trial_x_0.335.mp4,0.2985,YOLO_ONLY,N/A,0,0.0930
44,computer_room_part_two,trial_x_0.335.mp4,0.5253,YOLO_ONLY,N/A,0,0.0909
45,computer_room_part_two,trial_x_0.335.mp4,0.4771,YOLO_ONLY,N/A,0,0.0889
46,computer_room_part_two,trial_x_0.335.mp4,0.0000,YOLO_ONLY,N/A,0,0.0870
47,computer_room_part_two,trial_x_0.335.mp4,0.3248,YOLO_ONLY,N/A,0,0.0851
48,computer_room_part_two,trial_x_0.335.mp4,0.0000,YOLO_ONLY,N/A,0,0.0833
49,computer_room_part_two,trial_x_0.335.mp4,0.3520,YOLO_ONLY,N/A,0,0.0816
50,computer_room_part_two,trial_x_0.335.mp4,0.4728,YOLO_ONLY,N/A,0,0.0800
51,computer_room_part_two,trial_x_0.335.mp4,0.3780,YOLO_ONLY,N/A,0,0.0784
